name,slug,mvp,dpoy,sixmoy,finals_mvp,allstar,champion
Adrian Dantley,dantlad01,0,0,0,0,6,0
Al Horford,horfoal01,0,0,0,0,5,1
Alex English,englial01,0,0,0,0,8,0
Alex Groza,grozaal01,0,0,0,0,1,0
Allan Houston,houstal01,0,0,0,0,2,0
Allen Iverson,iversal01,1,0,0,0,11,0
Alonzo Mourning,mournal01,0,2,0,0,7,1
Alperen Sengun,sengual01,0,0,0,0,1,0
Alvan Adams,adamsal01,0,0,0,0,1,0
Alvin Robertson,roberal01,0,1,0,0,4,0
Amar'e Stoudemire,stoudam01,0,0,0,0,6,0
Andre Drummond,drumman01,0,0,0,0,2,0
Andre Iguodala,iguodan01,0,0,0,1,1,4
Andrew Bogut,bogutan01,0,0,0,0,0,1
Andrew Bynum,bynuman01,0,0,0,0,1,2
Andrew Toney,toneyan01,0,0,0,0,2,1
Andrew Wiggins,wiggian01,0,0,0,0,1,1
Andy Phillip,phillan01,0,0,0,0,5,1
Anfernee Hardaway,hardaan01,0,0,0,0,4,0
Antawn Jamison,jamisan01,0,0,1,0,2,0
Anthony Davis,davisan02,0,0,0,0,10,1
Anthony Edwards,edwaran01,0,0,0,0,4,0
Anthony Mason,masonan01,0,0,1,0,1,0
Antoine Walker,walkean02,0,0,0,0,3,1
Antonio Davis,davisan01,0,0,0,0,1,0
Antonio McDyess,mcdyean01,0,0,0,0,1,0
Archie Clark,clarkar01,0,0,0,0,2,0
Artis Gilmore,gilmoar01,0,0,0,0,6,0
Austin Carr,carrau01,0,0,0,0,1,0
Avery Johnson,johnsav01,0,0,0,0,0,1
Bailey Howell,howelba01,0,0,0,0,6,2
Bam Adebayo,adebaba01,0,0,0,0,3,0
Baron Davis,davisba01,0,0,0,0,2,0
Ben Gordon,gordobe01,0,0,1,0,0,0
Ben Simmons,simmobe01,0,0,0,0,3,0
Ben Wallace,wallabe01,0,4,0,0,4,1
Bernard King,kingbe01,0,0,0,0,4,0
Bill Cartwright,cartwbi01,0,0,0,0,1,3
Bill Laimbeer,laimbbi01,0,0,0,0,4,2
Bill Russell,russebi01,5,0,0,0,12,11
Bill Sharman,sharmbi01,0,0,0,0,8,4
Bill Walton,waltobi01,1,0,1,1,2,2
Billy Cunningham,cunnibi01,0,0,0,0,4,1
Billy Knight,knighbi01,0,0,0,0,1,0
Blake Griffin,griffbl01,0,0,0,0,6,0
Bob Boozer,boozebo01,0,0,0,0,1,1
Bob Cousy,cousybo01,1,0,0,0,13,6
Bob Dandridge,dandrbo01,0,0,0,0,4,2
Bob Davies,daviebo01,0,0,0,0,4,1
Bob Kauffman,kauffbo01,0,0,0,0,3,0
Bob Lanier,laniebo01,0,0,0,0,8,0
Bob Love,lovebo01,0,0,0,0,3,0
Bob McAdoo,mcadobo01,1,0,0,0,5,2
Bob Pettit,pettibo01,2,0,0,0,11,1
Bob Rule,rulebo01,0,0,0,0,1,0
Bob Weiss,weissbo01,0,0,0,0,0,1
Boris Diaw,diawbo01,0,0,0,0,0,1
Brad Daugherty,daughbr01,0,0,0,0,5,0
Brad Miller,millebr01,0,0,0,0,2,0
Bradley Beal,bealbr01,0,0,0,0,3,0
Brandon Ingram,ingrabr01,0,0,0,0,2,0
Brandon Roy,roybr01,0,0,0,0,3,0
Brent Barry,barrybr01,0,0,0,0,0,2
Brian Shaw,shawbr01,0,0,0,0,0,3
Brook Lopez,lopezbr01,0,0,0,0,1,1
Buck Williams,willibu01,0,0,0,0,3,0
Butch Beard,beardbu01,0,0,0,0,1,1
Byron Scott,scottby01,0,0,0,0,0,3
Cade Cunningham,cunnica01,0,0,0,0,2,0
Calvin Murphy,murphca01,0,0,0,0,1,0
Calvin Natt,nattca01,0,0,0,0,1,0
Campy Russell,russeca02,0,0,0,0,1,0
Carl Braun,braunca01,0,0,0,0,5,1
Carlos Boozer,boozeca01,0,0,0,0,2,0
Carmelo Anthony,anthoca01,0,0,0,0,10,0
Caron Butler,butleca01,0,0,0,0,2,0
Cazzie Russell,russeca01,0,0,0,0,1,1
Cedric Ceballos,cebalce01,0,0,0,0,1,0
Charles Barkley,barklch01,1,0,0,0,11,0
Charles Dudley,dudlech01,0,0,0,0,0,1
Charles Oakley,oaklech01,0,0,0,0,1,0
Charlie Scott,scottch01,0,0,0,0,3,1
Chauncey Billups,billuch01,0,0,0,1,5,1
Chet Walker,walkech01,0,0,0,0,7,1
Chris Bosh,boshch01,0,0,0,0,11,2
Chris Kaman,kamanch01,0,0,0,0,1,0
Chris Mullin,mullich01,0,0,0,0,5,0
Chris Paul,paulch01,0,0,0,0,12,0
Chris Webber,webbech01,0,0,0,0,5,0
Cliff Hagan,hagancl01,0,0,0,0,5,1
Clifford Ray,raycl01,0,0,0,0,0,1
Clifford Robinson,robincl02,0,0,1,0,1,0
Clyde Drexler,drexlcl01,0,0,0,0,10,1
Clyde Lee,leecl01,0,0,0,0,1,0
Clyde Lovellette,lovelcl01,0,0,0,0,4,3
Connie Hawkins,hawkico01,0,0,0,0,4,0
D'Angelo Russell,russeda01,0,0,0,0,1,0
Dale Davis,davisda01,0,0,0,0,1,0
Dale Ellis,ellisda01,0,0,0,0,1,0
Damian Lillard,lillada01,0,0,0,0,9,0
Dan Issel,isselda01,0,0,0,0,1,0
Dan Roundfield,roundda01,0,0,0,0,3,0
Dana Barros,barroda01,0,0,0,0,1,0
Danny Ainge,aingeda01,0,0,0,0,1,2
Danny Granger,grangda01,0,0,0,0,1,0
Danny Manning,mannida01,0,0,1,0,2,0
Darius Garland,garlada01,0,0,0,0,2,0
Darrell Armstrong,armstda01,0,0,1,0,0,0
Darrell Walker,walkeda01,0,0,0,0,0,1
Dave Bing,bingda01,0,0,0,0,7,0
Dave Cowens,cowenda01,1,0,0,0,8,2
