,slug,name,total_games,total_points,total_assists,total_rebounds,total_field_goals_attempted,total_field_goals_made,total_three_made,total_three_attempted,max_ppg,max_apg,max_rpg,max_fgp,max_3pp,avg_ppg,avg_rpg,avg_apg,field_goal_percentage,three_point_percentage,Average_PER,Max_PER,Average_TS,Max_TS,Average_VORP,Max_VORP,Average_OBP,Max_OBP,Average_DBP,Max_DBP,Average_Win_shares,Max_Win_shares,headshot
0,abdulka01,Kareem Abdul-Jabbar,1560,38387,5660,12369,28307,15837,1,18,34.839506172839506,5.3875,16.865853658536587,0.603759942154736,,24.60705128205128,7.928846153846154,3.628205128205128,0.5594729218921115,0.05555555555555555,24.085,29.9,0.5915,0.639,4.295,9.0,3.1,6.8,1.185,3.0,13.665000000000001,25.4,https://www.basketball-reference.com/req/202106291/images/headshots/abdulka01.jpg
1,abdulma01,Walt Hazzard,733,9140,3572,57,8222,3622,0,0,23.974683544303797,6.841463414634147,1.163265306122449,0.4668560606060606,,12.469304229195089,0.07776261937244201,4.8731241473397,0.4405254196059353,,14.01,19.4,0.47745,0.522,0.0,0.0,-0.19,0.0,0.0,0.0,2.955,5.4,https://www.basketball-reference.com/req/202106291/images/headshots/abdulma01.jpg
2,abdulma02,Mahmoud Abdul-Rauf,586,8553,2079,1087,7943,3514,474,1339,19.210526315789473,6.824561403508772,2.7777777777777777,0.4878048780487805,0.39158576051779936,14.595563139931741,1.8549488054607508,3.54778156996587,0.44240211506987287,0.35399551904406273,14.877777777777778,18.6,0.4971111111111111,0.543,0.5111111111111111,1.9,0.23333333333333334,3.5,-1.6444444444444446,-0.7,2.7888888888888888,6.8,https://www.basketball-reference.com/req/202106291/images/headshots/abdulma02.jpg
3,abdulza01,Zaid Abdul-Aziz,525,4595,605,1627,4181,1787,0,0,13.758620689655173,2.1379310344827585,11.683544303797468,0.4666666666666667,,8.752380952380953,3.099047619047619,1.1523809523809523,0.42740971059555133,,14.669999999999998,17.1,0.465,0.516,0.275,1.8,-0.425,0.9,-0.225,0.5,1.77,6.5,https://www.basketball-reference.com/req/202106291/images/headshots/abdulza01.jpg
4,abdursh01,Shareef Abdur-Rahim,830,15028,2109,6239,11515,5434,154,519,23.04,3.44,10.060975609756097,0.5253164556962026,0.4117647058823529,18.106024096385543,7.516867469879518,2.540963855421687,0.47190620929222754,0.29672447013487474,18.731818181818184,21.1,0.5496363636363637,0.588,1.8909090909090909,3.4,1.5136363636363634,3.4,-0.6545454545454545,0.4,6.095454545454545,9.7,https://www.basketball-reference.com/req/202106291/images/headshots/abdursh01.jpg
5,adamsal01,Alvan Adams,988,13910,4012,6937,11464,5709,2,15,18.9875,5.625,9.155844155844155,0.5314285714285715,,14.078947368421053,7.021255060728745,4.060728744939271,0.4979937194696441,0.13333333333333333,18.023076923076925,21.7,0.541923076923077,0.578,2.5307692307692307,4.3,1.1615384615384614,3.0,1.4538461538461538,2.6,5.6461538461538465,7.7,https://www.basketball-reference.com/req/202106291/images/headshots/adamsal01.jpg
6,adamsmi01,Michael Adams,653,9621,4209,1900,7849,3257,949,2857,26.545454545454547,10.5,3.9743589743589745,0.4527027027027027,0.36675461741424803,14.73353751914242,2.909647779479326,6.445635528330781,0.4149573194037457,0.3321666083304165,15.8,22.3,0.5310909090909092,0.583,1.8,4.3,1.4545454545454546,6.0,0.05454545454545456,1.2,4.2727272727272725,8.3,https://www.basketball-reference.com/req/202106291/images/headshots/adamsmi01.jpg
7,adamsst01,Steven Adams,706,6518,1079,5788,4619,2713,1,15,13.894736842105264,3.3684210526315788,11.547619047619047,0.6292134831460674,,9.23229461756374,8.19830028328612,1.528328611898017,0.5873565706862958,0.06666666666666667,16.71,20.6,0.5845,0.63,1.2,2.1,-0.020000000000000025,1.9,0.42000000000000004,1.1,5.95,9.7,https://www.basketball-reference.com/req/202106291/images/headshots/adamsst01.jpg
8,adebaba01,Bam Adebayo,489,7513,1707,4275,5276,2888,23,104,20.386666666666667,5.40625,10.380281690140846,0.5761316872427984,0.35714285714285715,15.3640081799591,8.742331288343559,3.4907975460122698,0.5473843821076573,0.22115384615384615,19.75714285714286,22.7,0.599,0.626,2.442857142857143,3.7,0.8714285714285713,2.9,1.6428571428571428,2.2,7.1571428571428575,8.8,https://www.basketball-reference.com/req/202106291/images/headshots/adebaba01.jpg
9,adelmri01,Rick Adelman,508,3784,1683,233,3517,1461,0,0,12.62962962962963,5.1625,1.9642857142857142,0.43691899070385126,,7.448818897637795,0.45866141732283466,3.312992125984252,0.41541086152971285,,10.976190476190476,13.4,0.46214285714285713,0.484,0.02380952380952381,0.1,-0.8904761904761903,0.0,0.4238095238095238,1.8,1.3047619047619048,3.4,https://www.basketball-reference.com/req/202106291/images/headshots/adelmri01.jpg
